Date,Product_Name,Category,Region,Channel,Quantity,Price_Per_Unit,Sales_Amount,Profit
2025-01-01,Curtains,Home Decor,West,Online,1,45.0,45.0,9.65
2025-01-01,Lamp,Home Decor,West,In-Store,1,30.0,30.0,7.31
2025-01-01,Lamp,Home Decor,North,In-Store,1,30.0,30.0,9.54
2025-01-02,Sneakers,Clothing,South,In-Store,3,60.0,180.0,56.68
2025-01-02,Laptop,Electronics,West,In-Store,1,800.0,800.0,224.5
2025-01-02,Sofa,Home Decor,North,In-Store,4,450.0,1800.0,322.51
2025-01-02,Laptop,Electronics,East,In-Store,1,800.0,800.0,317.81
2025-01-02,Lamp,Home Decor,South,Wholesale,46,25.5,1173.0,415.57
2025-01-02,Jeans,Clothing,South,Online,3,40.0,120.0,24.79
2025-01-02,Headphones,Electronics,South,In-Store,1,50.0,50.0,19.32
2025-01-02,Jeans,Clothing,East,In-Store,4,40.0,160.0,31.39
2025-01-03,T-Shirt,Clothing,South,Wholesale,49,17.0,833.0,129.12
2025-01-03,Jeans,Clothing,East,Wholesale,12,34.0,408.0,68.23
2025-01-03,Lamp,Home Decor,West,In-Store,2,30.0,60.0,10.22
2025-01-03,Smartwatch,Electronics,South,Online,2,150.0,300.0,97.25
2025-01-04,Sneakers,Clothing,North,Wholesale,14,51.0,714.0,201.84
2025-01-04,Jacket,Clothing,East,In-Store,2,80.0,160.0,30.93
2025-01-04,T-Shirt,Clothing,East,In-Store,1,20.0,20.0,6.09
2025-01-04,Laptop,Electronics,West,In-Store,2,800.0,1600.0,501.63
2025-01-04,Smartphone,Electronics,North,Online,2,500.0,1000.0,280.04
2025-01-05,Jeans,Clothing,West,Online,2,40.0,80.0,13.95
2025-01-05,Smartwatch,Electronics,West,Online,2,150.0,300.0,47.58
2025-01-06,Smartphone,Electronics,East,Online,2,500.0,1000.0,167.7
2025-01-06,Sofa,Home Decor,North,Online,1,450.0,450.0,78.41
2025-01-06,Lamp,Home Decor,South,Wholesale,31,25.5,790.5,221.66
2025-01-06,Curtains,Home Decor,North,Wholesale,41,38.25,1568.25,534.06
2025-01-06,Sneakers,Clothing,South,In-Store,3,60.0,180.0,67.23
2025-01-07,Rug,Home Decor,South,In-Store,3,120.0,360.0,101.89
2025-01-07,Jacket,Clothing,South,In-Store,4,80.0,320.0,101.1
2025-01-07,Smartphone,Electronics,West,Wholesale,45,425.0,19125.0,5490.7
2025-01-07,Headphones,Electronics,North,In-Store,1,50.0,50.0,7.87
2025-01-07,Curtains,Home Decor,West,In-Store,2,45.0,90.0,31.14
2025-01-07,T-Shirt,Clothing,South,Online,1,20.0,20.0,3.09
2025-01-08,Headphones,Electronics,East,Wholesale,39,42.5,1657.5,355.37
2025-01-08,Smartphone,Electronics,West,In-Store,1,500.0,500.0,153.31
2025-01-09,T-Shirt,Clothing,North,Online,2,20.0,40.0,13.21
2025-01-09,Laptop,Electronics,East,Online,4,800.0,3200.0,746.22
2025-01-09,Smartwatch,Electronics,West,Wholesale,20,127.5,2550.0,509.26
2025-01-10,Laptop,Electronics,South,In-Store,1,800.0,800.0,139.95
2025-01-10,Sneakers,Clothing,North,In-Store,4,60.0,240.0,41.85
2025-01-10,Jeans,Clothing,South,Online,1,40.0,40.0,6.26
2025-01-11,Sneakers,Clothing,East,Online,4,60.0,240.0,70.84
2025-01-11,Laptop,Electronics,East,Online,3,800.0,2400.0,441.28
2025-01-11,Curtains,Home Decor,East,Online,1,45.0,45.0,11.78
2025-01-11,Jeans,Clothing,West,Wholesale,35,34.0,1190.0,206.58
2025-01-12,Rug,Home Decor,East,In-Store,2,120.0,240.0,85.43
2025-01-12,Sofa,Home Decor,East,Online,3,450.0,1350.0,411.16
2025-01-12,Curtains,Home Decor,North,Online,1,45.0,45.0,13.68
2025-01-12,Lamp,Home Decor,North,In-Store,3,30.0,90.0,21.99
2025-01-13,Jacket,Clothing,South,Wholesale,19,68.0,1292.0,455.04
2025-01-13,Headphones,Electronics,East,In-Store,1,50.0,50.0,15.34
2025-01-13,Laptop,Electronics,East,In-Store,2,800.0,1600.0,457.52
2025-01-13,Lamp,Home Decor,South,Online,2,30.0,60.0,22.54
2025-01-13,Smartwatch,Electronics,East,Wholesale,27,127.5,3442.5,908.52
